,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,pre_class
5937,f,y,p,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,e,e
5157,x,s,b,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,g,p,p
2680,f,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,e,e
1330,x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e,e
5785,f,s,w,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g,p,p
1941,f,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,e,e
6080,f,y,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,p,p
1487,f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e,e
2142,x,y,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,e,e
2628,f,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,e,e
3214,f,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d,e,e
319,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
6688,x,y,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,p,p
1897,f,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e,e
5799,x,y,e,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,p,p
7765,x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,n,v,l,e,e
1172,f,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e,e
6153,x,s,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,p,p
2189,x,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,e,e
7104,k,s,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,p,p
6047,f,s,n,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,p,p
4125,x,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,p,p
132,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
5905,x,s,w,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,u,p,p
1623,f,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e,e
554,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
3660,x,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
1345,f,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e,e
1406,x,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e,e
6782,x,y,e,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,p,p
1952,x,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,e,e
1400,f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
7530,x,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,p,p
4392,f,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,p,p
3199,x,f,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,p,p
1087,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
4246,f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,p,p
5361,x,y,y,f,n,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,p,p
2578,x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
1197,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
4207,f,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d,p,p
4335,f,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g,p,p
7859,x,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,o,c,l,e,e
5555,x,s,w,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,u,p,p
7736,b,f,g,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,n,g,e,e
487,s,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
4362,f,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d,p,p
7972,b,s,w,f,n,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,s,g,e,e
6337,f,y,n,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,p,p
37,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p,p
4350,x,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,p,p
2884,f,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,e,e
1420,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p,p
2481,x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
4395,f,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p,p,p
7589,k,y,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d,p,p
6187,f,y,e,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,p,p
1783,f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p,p
5349,f,s,g,t,f,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,v,g,p,p
4229,x,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,p,p
5411,x,y,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,p,p
95,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
3409,f,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
6342,f,y,n,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,p,p
7112,f,y,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,p,p
349,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
4655,x,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,p,p
6003,x,s,n,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,p,p
4401,f,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,p,p
3424,f,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,e,e
4314,x,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,p,p
7315,x,s,w,f,n,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,n,g,e,e
1042,x,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e,e
940,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
4814,k,f,n,f,n,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,p,p
2488,f,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,e,e
5444,f,s,g,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,g,p,p
251,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,p,p
3309,f,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d,e,e
334,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
7238,k,y,n,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,p,p
7233,b,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,n,o,p,b,c,l,e,e
1643,f,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e,e
7573,b,s,g,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,s,g,e,e
2549,x,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
1053,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p,e,e
927,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,p,p
3916,f,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,e,e
696,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
7639,k,y,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,p,p
3002,f,y,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,e,e
1056,x,f,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
3653,x,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p,p,p
6498,f,y,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,p,p
5004,f,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d,p,p
3715,f,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,e,e
1263,x,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e,e
4764,x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,p,p
5324,x,y,n,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,p,p
4192,f,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p,p,p
3411,x,s,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,p,p
2669,x,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,d,e,e
157,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
1554,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
2138,x,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,e,e
4248,f,y,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,p,p
6237,f,s,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,p,p
982,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e,e
4786,f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,p,p
3091,x,f,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g,p,p
503,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
2245,x,f,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,e,e
1385,x,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e,e
6452,f,y,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,d,p,p
5048,f,f,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d,p,p
4446,f,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,p,p
7559,x,f,w,f,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g,e,e
4418,f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g,p,p
7504,k,s,e,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,p,p
5261,f,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,p,p
4013,f,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d,p,p
5755,x,y,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,p,p
6021,f,s,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,p,p
2458,x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
6180,f,y,e,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,p,p
6828,k,y,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,p,p
1281,x,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
6280,f,s,e,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,p,p
2319,f,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,e,e
4472,x,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,p,p
2210,x,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d,p,p
2164,f,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
3011,f,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,e,e
1168,f,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e,e
3133,f,y,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,e,e
3978,x,s,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d,p,p
7223,x,s,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,p,p
3704,x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p,p,p
353,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
1562,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e,e
3912,f,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,p,p
4500,x,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d,p,p
7918,x,f,w,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g,e,e
5962,f,y,n,f,n,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l,e,e
7705,x,s,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p,e,e
4808,x,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,p,p
6719,x,s,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,p,p
1922,x,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e,e
4058,x,s,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d,p,p
429,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
7903,x,s,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,p,p
4519,x,s,b,t,n,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w,e,e
6307,f,y,n,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,p,p
1061,x,s,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
1483,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e,e
6210,f,y,e,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,p,p
3121,f,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,e,e
6604,f,y,e,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,p,p
4299,f,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,p,p
742,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g,e,e
3405,x,s,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,p,p
7577,k,y,n,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,p,p
7511,f,s,n,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,p,p
5612,f,s,n,t,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w,e,e
4099,x,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,p,p
3821,x,f,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e,e
6780,k,y,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,p,p
1928,f,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
3103,f,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,p,p
6765,x,s,n,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p,p,p
1193,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p,e,e
1617,f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
483,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e,e
6083,f,y,n,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p,p,p
5375,x,y,n,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,p,p
4700,f,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,p,p
7018,x,s,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,p,p
7565,k,y,e,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,p,p
5354,x,y,n,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,p,p
3801,x,s,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,p,p
6926,f,s,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,p,p
6336,f,y,n,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,p,p
4304,f,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,p,p
6222,k,s,e,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,p,p
2303,x,f,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,e,e
1544,x,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e,e
2107,x,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,e,e
4767,f,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,p,p
1302,f,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e,e
1244,f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e,e
3589,x,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,e,e
6917,f,s,e,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d,p,p
4774,x,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d,p,p
4254,f,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,p,p
3322,x,f,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,p,p
7582,k,y,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,p,p
7804,k,s,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,p,p
8119,k,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,b,c,l,e,e
1559,f,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
7397,k,y,n,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,p,p
1417,x,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e,e
4793,f,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,p,p
3685,f,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,e,e
1550,f,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e,e
4590,f,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p,p,p
5904,f,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,p,p
1017,x,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,e,e
1277,f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e,e
3460,f,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,e,e
6068,x,f,w,f,n,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,n,g,e,e
6699,f,y,e,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,p,p
6902,f,s,n,f,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,l,p,p
496,f,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e,e
8025,x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,y,c,l,e,e
6323,f,y,n,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,p,p
6755,f,y,n,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,p,p
5987,f,s,g,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,g,p,p
3299,f,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,e,e
3204,f,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,e,e
5144,x,s,e,t,n,f,c,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w,e,e
1718,f,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e,e
3948,f,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,e,e
1954,x,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,e,e
3844,f,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,e,e
393,x,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
7379,f,s,n,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,p,p
2399,x,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,e,e
230,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e,e
4326,x,y,r,f,n,f,c,n,p,e,?,s,f,w,w,p,w,o,f,h,v,d,e,e
4245,x,s,w,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,g,p,p
6256,f,y,e,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,p,p
1511,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e,e
2683,x,f,p,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,p,p
6556,f,y,e,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,p,p
1261,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,p,p
3903,x,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,p,p
33,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e,e
2932,x,y,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
5896,f,s,b,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,u,p,p
7373,b,s,g,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,s,g,e,e
1545,x,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,e,e
1992,f,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e,e
625,x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
4863,f,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p,p,p
3070,f,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,e,e
1894,x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
5357,x,s,w,t,f,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,u,p,p
61,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
6380,f,y,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,p,p
7535,x,s,w,f,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g,e,e
2133,f,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d,e,e
6820,f,y,n,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,p,p
3620,f,f,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,e,e
332,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
6163,f,y,e,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,p,p
2441,x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,e,e
4385,f,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,p,p
5059,f,y,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p,p,p
1074,f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e,e
6849,b,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,o,c,l,e,e
3942,x,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,e,e
1323,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p,p
5926,f,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,p,p
7328,b,s,w,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,n,g,e,e
2543,x,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,e,e
3090,x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,p,p
5923,f,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g,p,p
5621,f,s,w,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,p,p
4742,f,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,p,p
586,s,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e,e
2835,x,f,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,e,e
6309,f,s,e,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,p,p
